couplings,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,gapE0,gapE1,gapE2,gapE3,gapE4,gapE5,gapE6,gapE7,gapE8,elec,magn
0.59,-0.9425393240965538,1.2042438408485958,1.2042438408486023,1.433918082908255,1.4367983333257404,1.441662106623631,1.7628625626111034,2.181189966530882,2.181189966530907,2.2802558862779563,2.1467831649451496,2.1467831649451563,2.376457407004809,2.379337657422294,2.384201430720185,2.7054018867076572,3.123729290627436,3.1237292906274607,3.2227952103745103,2.9586489751419847,-3.653534582889442
0.6,-1.0121180368884228,0.94468040805363,0.9446804080536371,1.1639631025097725,1.1710479131447173,1.1714692513630212,1.523853582236444,1.9098593994746185,1.978143478025413,1.9973771046223665,1.9567984449420528,1.95679844494206,2.176081139398195,2.18316595003314,2.183587288251444,2.535971619124867,2.9219774363630413,2.990261514913836,3.009495141510789,3.3839474719286113,-3.9428283760997864
0.602,-1.02693138666866,0.8907276587465645,0.8907276587465988,1.1076692114935596,1.1150976113963595,1.1158633224363814,1.4726236930773138,1.8347763290860961,1.9071615007200353,1.919666969557848,1.9176590454152245,1.9176590454152587,2.1346005981622196,2.14202899806502,2.1427947091050417,2.499555079745974,2.861707715754756,2.9340928873886956,2.946598356226508,3.4806600572784037,-4.007033371205093
0.604,-1.0420734366914841,0.8360880972114033,0.8360880972114036,1.0506112559758611,1.0579524724250715,1.0600160624354542,1.4201706092141544,1.759369110995316,1.834326731247708,1.8416960453802953,1.8781615339028874,1.8781615339028876,2.092684692667345,2.100025909116556,2.1020894991269383,2.4622440459056385,2.8014425476868,2.876400167939192,2.8837694820717794,3.581879559681191,-4.073671758816621
0.606,-1.0575585309836468,0.7807605682799432,0.7807605682799598,0.9927931113961155,1.0000381028572878,1.0035149577840896,1.3664686694301114,1.6836423266140392,1.759390623356512,1.7634683938688878,1.83831909926359,1.8383190992636065,2.0503516423797623,2.0575966338409346,2.0610734887677364,2.424027200413758,2.7412008575976863,2.8169491543401586,2.821026924852535,3.6879178077427412,-4.142901233059886
0.608,-1.0734019902713006,0.72474481190108,0.7247448119010821,0.9342197723540465,0.9413599450183358,0.9463697996165168,1.3114979981244157,1.6076005922118424,1.6827211518729843,1.6849880352365796,1.7981468021723805,1.7981468021723828,2.007621762625347,2.0147619352896364,2.0197717898878174,2.3848999883957163,2.681002582483143,2.756123142144285,2.75839002550788,3.799112598736555,-4.214891659500055
0.61,-1.089620191219555,0.668041461666703,0.6680414616667124,0.8748973068176463,0.881924563423536,0.8885912587862883,1.2552450935147068,1.531248549660886,1.6048964085142639,1.6062589454165033,1.7576616528862579,1.7576616528862674,1.964517498037201,1.9715447546430909,1.9782114500058432,2.3448652847342615,2.620868740880441,2.6945165997338187,2.695879136636058,3.915829818307802,-4.289825935015742
0.612,-1.1062306517418452,0.6106520366257706,0.6106520366257803,0.8148328022362715,0.8217395843361188,0.83019078965768,1.1977032505247036,1.4545908576544853,1.526327232832116,1.5272850536400133,1.7168826883676158,1.7168826883676256,1.9210634539781166,1.927970236077964,1.936421441399525,2.303933902266549,2.5608215093963302,2.632557884573961,2.6335157053818588,4.038465653974761,-4.36790085863407
0.614,-1.1232521225482204,0.5525789265526319,0.5525789265526392,0.7540343046178055,0.7608136278418187,0.7711805251508453,1.1388727894270905,1.3776321834099867,1.4472432116125014,1.4480702402910393,1.6758310491008523,1.6758310491008594,1.877286427166026,1.884065750390039,1.8944326476990656,2.262124911975311,2.5008843059582073,2.5704953341607215,2.5713223628392594,4.167448877344883,-4.449327995445203
0.616,-1.1407046849986602,0.49382537094982676,0.4938253709498308,0.692510751724867,0.6991562337710439,0.7115731636377538,1.0787610739059312,1.3003771948613778,1.3677683870392165,1.3686183350223593,1.634530055948487,1.634530055948491,1.8332154367235272,1.8398609187697041,1.852277848636414,2.219465758904591,2.4410818798600378,2.5084730720378765,2.5093230200210197,4.303243158220428,-4.534334509343032
