coupling,10x2,6x2,7x2,8x2,9x2
1.08,0.0011546064615316994,0.016180470839637175,0.0161804620297578,0.004322044851907936,0.004322044812139833
1.1,0.001057098922321989,0.015343225569741279,0.015343218003832364,0.0040271033608001655,0.004027103328362426
1.12,0.000969245249679937,0.014562241531057622,0.014562235018559001,0.003756708621890732,0.0037567085953500636
1.1400000000000001,0.0008899557835869763,0.013832915948359024,0.01383291033006569,0.003508468424754141,0.0035084684029730766
1.16,0.0008182782433257405,0.013151086048272979,0.01315108119084031,0.0032802559767268614,0.0032802559587992823
1.18,0.000753378682264031,0.012512981298259217,0.012512977089724413,0.003070177064205844,0.003070177049407523
1.2,0.0006945253100074592,0.011915181407763074,0.011915177753888959,0.0028765416727263645,0.002876541660476987
1.22,0.0006410747178365406,0.011354579331844448,0.01135457615312492,0.0026978394099263763,0.002697839399759303
1.24,0.0005924601234013015,0.010828348625486706,0.010828345854688854,0.0025327181789221134,0.002532718170460815
1.26,0.0005481813160978875,0.010333914588417101,0.010333912168557117,0.002379965635711665,0.0023799656286519672
1.28,0.0005077960381861316,0.009868928718145162,0.00986892660081949,0.002238493036065094,0.002238493030159984
1.3,0.00047091258077935715,0.009431246055275233,0.009431244199278292,0.002107321137419009,0.0021073211324673735
1.32,0.0004371834101364689,0.009018905061718194,0.009018903431899232,0.001985567871630866,0.001985567867468998
1.34,0.0004062996696570958,0.008630109720799082,0.008630108287108411,0.0018724375467020012,0.0018724375431956087
1.36,0.00037798642778628027,0.008263213589628015,0.008263212326326413,0.001767211371142143,0.0017672113681812787
1.3800000000000001,0.0003519985626177066,0.007916705569598694,0.00791670445459426,0.0016692391246296867,0.0016692391221239493
1.4000000000000001,0.00032811719109601705,0.007589197191353113,0.007589196205647934,0.001577931823952712,0.0015779318218275143
1.42,0.00030614656498367305,0.007279411236764611,0.007279410363990908,0.0014927552546613564,0.001492755252855143
1.44,0.0002859113676727511,0.006986171543089163,0.00698617076911834,0.0014132242570523612,0.0014132242555140338
1.46,0.00026725435589671604,0.006708393853932883,0.006708393166548502,0.0013388976705670675,0.0013388976692542925
1.48,0.00025003429876753675,0.006445077598544716,0.006445076987162559,0.0012693738538474004,0.0012693738527247839
1.5,0.00023412417359809965,0.006195298495536747,0.00619529795097295,0.001204286708926317,0.0012042867079645595
1.52,0.00021940958389993974,0.005958201889803567,0.0059582014040754985,0.0011433021476286126,0.0011433021468029777
1.54,0.0002057873699505295,0.005732996742407113,0.005732996308563889,0.001086114946474804,0.0010861149457649093
1.56,0.00019316438655794178,0.005518950202760622,0.0055189498147406955,0.0010324459434356158,0.001032445942823991
1.58,0.0001814564262400652,0.005315382700790445,0.0053153823532988975,0.0009820395359362456,0.0009820395354084629
1.6,0.00017058726908231794,0.0051216635040234135,0.005121663192428256,0.0009346614447320586,0.0009346614442758883
1.62,0.00016048784313076007,0.004937206690914414,0.004937206411157264,0.0008900967127672246,0.0008900967123721673
1.6400000000000001,0.00015109548138814768,0.004761467497287977,0.0047614672458076756,0.0008481479120138805,0.0008481479116712212
1.6600000000000001,0.00014235326336677068,0.004593938997651142,0.004593938771318163,0.0008086335346494742,0.0008086335343518503
1.68,0.00013420943076726505,0.00443414908741584,0.004434148883476071,0.0007713865478381082,0.0007713865475790808
1.7,0.00012661686823556257,0.004281657735830164,0.004281657551857042,0.000736253093909175,0.0007362530936834444
1.72,0.00011953264133779315,0.004136054482736542,0.004136054316588075,0.0007030913199213184,0.0007030913197243109
1.74,0.00011291758491409549,0.00399695615518458,0.003996956004968499,0.0006717703225109241,0.0006717703223388068
1.76,0.0001067359358518512,0.0038640047825142377,0.003864004646556017,0.0006421691955900914,0.0006421691954394261
1.78,0.00010095500507698149,0.003736865690792886,0.0037368655676089,0.0006141761699123944,0.0006141761697803052
1.8,9.554488421811266e-05,0.0036152257595059804,0.003615225647780266,0.0005876878347975797,0.0005876878346815861
1.82,9.047818296440189e-05,0.003498791825190021,0.0034987917237541393,0.0005626084334184819,0.0005626084333165441
1.84,8.572979363099655e-05,0.003387289218271621,0.0033872891260861193,0.0005388492240298968,0.0005388492239402315
1.86,8.127667987075573e-05,0.003280460420787422,0.0032804603369268963,0.0005163279003744764,0.0005163279002953991
1.8800000000000001,7.709768684292445e-05,0.00317806383390656,0.0031780637575461426,0.0004949680652552442,0.0004949680651854819
1.9000000000000001,7.317337047212876e-05,0.0030798726452913273,0.003079872575694962,0.0004746987519269715,0.0004746987518653271
1.92,6.948584371137666e-05,0.002985673787319033,0.0029856737238292503,0.0004554539885413101,0.0004554539884867602
1.94,6.601863796959964e-05,0.002895266978078486,0.002895266920107121,0.00043717240139752546,0.00043717240134914884
1.96,6.275657807766491e-05,0.0028084638378353607,0.0028084637848559057,0.000419796853205298,0.00041979685316245426
1.98,5.968566935561416e-05,0.0027250870743779658,0.002725087025918215,0.00040327411296969676,0.0004032741129316886
2.0,5.6792995507576175e-05,0.002644969731274114,0.002644969686911009,0.000387554554463396,0.00038755455442958094
